ID,PRN Number,Name,Email,Role,Course,Year,Phone,Address,Mother Name,DOB,Books Borrowed,Extension Requests,Library Hours (Month),Library Hours (Year),Created At,Updated At
1,PRN2024001,Vikash Bansal,student1@college.edu,student,BTech Data Science,5th,9876510001,"Address 1, City, State",Priya,12092004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
2,PRN2024002,Suresh Sharma,student2@college.edu,student,BTech Data Science,3rd,9876510002,"Address 2, City, State",Priya,14041998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
3,PRN2024003,Ayaan Agarwal,student3@college.edu,student,BTech Data Science,5th,9876510003,"Address 3, City, State",Meera,07041996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
4,PRN2024004,Sneha Gupta,student4@college.edu,student,BSC CS,4th,9876510004,"Address 4, City, State",Geeta,12041999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
5,PRN2024005,Riya Gupta,student5@college.edu,student,BSC CS,4th,9876510005,"Address 5, City, State",Maya,07092005,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
6,PRN2024006,Fatima Shah,student6@college.edu,student,BSC IT,4th,9876510006,"Address 6, City, State",Sita,27042002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
7,PRN2024007,Anita Agarwal,student7@college.edu,student,BTech Computer Science,2nd,9876510007,"Address 7, City, State",Kavita,20032000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
8,PRN2024008,Ananya Verma,student8@college.edu,student,BTech Data Science,3rd,9876510008,"Address 8, City, State",Geeta,08111996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
9,PRN2024009,Anita Agarwal,student9@college.edu,student,BTech Computer Science,1st,9876510009,"Address 9, City, State",Sita,19081995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
10,PRN2024010,Myra Shah,student10@college.edu,student,BSC CS,3rd,9876510010,"Address 10, City, State",Lata,18041995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
11,PRN2024011,Kavya Singh,student11@college.edu,student,BTech Computer Science,3rd,9876510011,"Address 11, City, State",Lata,28021995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
